Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-01-30,0.743,0.745,0.741,0.745,120917,28,89898.998,,,,0.745
2026-02-02,0.75,0.755,0.748,0.755,929872,66,698430.392,0.745,0.010000000000000009,1.342281879194632,0.755
2026-02-03,0.755,0.762,0.755,0.76,3287879,157,2495077.409,0.755,0.0050000000000000044,0.6622516556291397,0.76
2026-02-04,0.761,0.765,0.759,0.762,927316,53,705122.077,0.76,0.0020000000000000018,0.2631578947368423,0.762
2026-02-06,0.764,0.784,0.764,0.77,8943540,292,6907424.918,0.762,0.008000000000000007,1.0498687664042003,0.77
2026-02-09,0.771,0.771,0.76,0.765,4308153,170,3290995.711,0.77,-0.0050000000000000044,-0.6493506493506499,0.765
2026-02-10,0.766,0.768,0.758,0.765,1851046,125,1409490.867,0.765,0.0,0.0,0.765
2026-02-11,0.766,0.767,0.76,0.764,724043,50,551824.444,0.765,-0.0010000000000000009,-0.13071895424836613,0.764
2026-02-12,0.763,0.763,0.762,0.763,1181515,74,900894.702,0.764,-0.0010000000000000009,-0.13089005235602105,0.763
2026-02-13,0.764,0.769,0.761,0.762,1208488,85,922231.1220000001,0.763,-0.0010000000000000009,-0.13106159895150732,0.762
