Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-02-02,3.6,3.61,3.58,3.6,26197327,1029,94187069.66,,,,3.6
2026-02-03,3.6,3.67,3.6,3.65,51333926,1726,186990595.8,3.6,0.04999999999999982,1.388888888888884,3.65
2026-02-04,3.65,3.71,3.63,3.7,91867638,4763,337479860.34,3.65,0.050000000000000266,1.3698630136986376,3.7
2026-02-05,3.7,3.7,3.68,3.7,45761458,1390,169076574.98,3.7,0.0,0.0,3.7
2026-02-06,3.69,3.72,3.68,3.72,37827278,737,139872932.83,3.7,0.020000000000000018,0.540540540540541,3.72
2026-02-09,3.72,3.76,3.68,3.72,89623733,2177,332389808.79,3.72,0.0,0.0,3.72
2026-02-10,3.72,3.73,3.66,3.67,46226954,1266,170389202.13,3.72,-0.050000000000000266,-1.3440860215053836,3.67
2026-02-11,3.68,3.7,3.62,3.63,34890064,1614,127555959.21,3.67,-0.040000000000000036,-1.0899182561307912,3.63
2026-02-12,3.63,3.64,3.61,3.61,17844097,777,64591676.01,3.63,-0.020000000000000018,-0.5509641873278243,3.61
2026-02-13,3.61,3.63,3.57,3.63,29417032,1295,106193032.00000012,3.61,0.020000000000000018,0.5540166204986154,3.63
