Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-02-02,9.58,9.84,9.52,9.76,10917838,1617,106273967.56,,,,9.76
2026-02-03,9.77,10.18,9.76,10.18,21676201,2667,217582258.87,9.76,0.41999999999999993,4.303278688524589,10.18
2026-02-04,10.14,10.5,10.06,10.2,17155818,2469,176007208.98,10.18,0.019999999999999574,0.1964636542239644,10.2
2026-02-05,10.12,10.4,9.98,10.24,13668068,2339,139039009.71,10.2,0.040000000000000924,0.39215686274510714,10.24
2026-02-06,10.24,10.32,10.14,10.32,9831708,1740,100850550.14,10.24,0.08000000000000007,0.7812500000000007,10.32
2026-02-09,10.38,10.86,10.38,10.86,15492803,2123,166406466.56,10.32,0.5399999999999991,5.232558139534875,10.86
2026-02-10,10.86,11.04,10.8,10.9,17434412,2186,190320791.44,10.86,0.040000000000000924,0.3683241252302111,10.9
2026-02-11,10.9,11.08,10.68,10.9,12734443,2480,138099370.84,10.9,0.0,0.0,10.9
2026-02-12,10.92,11.5,10.74,11.5,17178175,2965,192766079.02,10.9,0.5999999999999996,5.5045871559633,11.5
2026-02-13,11.52,11.66,11.2,11.26,10645418,2050,121351714.47999993,11.5,-0.2400000000000002,-2.086956521739132,11.26
