Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-02-05,1.65,1.65,1.63,1.63,371174,64,606401.47,,,,1.63
2026-02-06,1.64,1.68,1.60,1.60,3590744,365,5843173.96,1.63,-0.03,-1.84,1.60
2026-02-09,1.61,1.61,1.55,1.58,2276459,269,3584969.81,1.60,-0.02,-1.25,1.58
2026-02-10,1.58,1.59,1.56,1.58,2930302,253,4599678.87,1.58,0.00,0.00,1.58
2026-02-11,1.58,1.59,1.56,1.57,1665370,189,2616292.50,1.58,-0.01,-0.63,1.57
2026-02-12,1.56,1.57,1.53,1.55,2648327,316,4105322.21,1.57,-0.02,-1.27,1.55
2026-02-13,1.56,1.56,1.52,1.55,1121057,150,1721501.04,1.55,0.00,0.00,1.55
2026-02-16,1.55,1.55,1.52,1.54,619347,119,952599.89,1.55,-0.01,-0.65,1.54
2026-02-17,1.54,1.55,1.52,1.54,718763,102,1104300.17,1.54,0.00,0.00,1.54
2026-02-18,1.54,1.54,1.51,1.52,2444346,123,3726438.95,1.54,-0.02,-1.30,1.52
