Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-02-02,18.56,18.76,18.46,18.74,5808458,1130,108126596.9,,,,18.74
2026-02-03,18.82,19.8,18.74,19.8,13075361,2509,252948494.52,18.74,1.0600000000000023,5.656350053361805,19.8
2026-02-04,19.78,20.06,19.54,19.96,8047218,1650,160008729.38,19.8,0.16000000000000014,0.8080808080808087,19.96
2026-02-05,19.96,20.04,19.7,19.98,5164992,1359,103073403.1,19.96,0.019999999999999574,0.10020040080160107,19.98
2026-02-06,19.9,20.02,19.82,19.96,4906255,1194,97835473.86,19.98,-0.019999999999999574,-0.10010010010009797,19.96
2026-02-09,19.96,20.04,19.64,19.82,5652957,1738,112269916.84,19.96,-0.14000000000000057,-0.7014028056112253,19.82
2026-02-10,19.8,19.94,19.66,19.94,4610493,1116,91469268.16,19.82,0.120000000000001,0.6054490413723561,19.94
2026-02-11,19.9,20.02,19.9,20.0,4896876,804,97823892.78,19.94,0.05999999999999872,0.3009027081243667,20.0
2026-02-12,20.0,20.18,19.92,20.0,7773873,828,155891594.78,20.0,0.0,0.0,20.0
2026-02-13,20.02,20.18,19.94,20.16,2524366,768,50641858.58000002,20.0,0.16000000000000014,0.8000000000000007,20.16
