Date,Open,High,Low,Close,Volume,Trades,Value,Previous,Change,Change %,Last
2026-02-05,1.09,1.10,1.08,1.09,14308942,399,15603744.67,,,,1.09
2026-02-06,1.09,1.10,1.08,1.08,11996685,241,13077579.42,1.09,-0.01,-0.92,1.08
2026-02-09,1.09,1.13,1.09,1.12,58469922,900,64655928.68,1.08,0.04,3.70,1.12
2026-02-10,1.12,1.13,1.10,1.12,22777520,426,25400852.50,1.12,0.00,0.00,1.12
2026-02-11,1.12,1.13,1.11,1.12,33933733,594,38020788.28,1.12,0.00,0.00,1.12
2026-02-12,1.12,1.12,1.10,1.10,18381089,392,20316606.53,1.12,-0.02,-1.79,1.10
2026-02-13,1.09,1.10,1.08,1.09,13057235,388,14237242.11,1.10,-0.01,-0.91,1.09
2026-02-16,1.09,1.09,1.06,1.08,35338131,954,37969842.92,1.09,-0.01,-0.92,1.08
2026-02-17,1.08,1.08,1.06,1.07,9047235,395,9669144.97,1.08,-0.01,-0.93,1.07
2026-02-18,1.07,1.08,1.06,1.07,4245762,259,4544962.40,1.07,0.00,0.00,1.07
