Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,5.41,5.64,5.41,2000,14459551,80493557.15,5.61,5.4,0.21,3.89%
17-02-2026,5.41,5.66,5.38,2958,21286240,117000361.09,5.4,5.4,0.0,0.00%
16-02-2026,5.35,5.42,5.35,738,7189024,38751818.76,5.4,5.35,0.05,0.94%
13-02-2026,5.3,5.37,5.28,935,7342884,39166784.43,5.35,5.26,0.09,1.71%
12-02-2026,5.3,5.31,5.2,1101,4664596,24539237.31,5.26,5.2,0.06,1.15%
11-02-2026,5.3,5.34,5.2,1311,8318974,43839560.04,5.2,5.27,-0.07,-1.33%
10-02-2026,5.33,5.39,5.24,1041,8510654,45098348.21,5.27,5.34,-0.07,-1.31%
09-02-2026,5.25,5.34,5.22,937,8477017,44846187.89,5.34,5.26,0.08,1.52%
06-02-2026,5.2,5.27,5.19,713,5053174,26478648.71,5.26,5.2,0.06,1.15%
05-02-2026,5.13,5.24,5.13,772,5608640,29181115.39,5.2,5.13,0.07,1.37%
04-02-2026,5.07,5.15,5.07,874,6353796,32538287.25,5.13,5.08,0.05,0.98%
03-02-2026,5.08,5.12,5.08,911,5240793,26719893.66,5.08,5.08,0.0,0.00%
02-02-2026,4.98,5.09,4.97,749,5299966,26800875.32,5.08,4.98,0.1,2.01%
30-01-2026,5.03,5.05,4.98,800,4684719,23451762.72,4.98,5.03,-0.05,-0.99%
29-01-2026,5.14,5.16,5.03,1367,11695941,59194505.73,5.03,5.14,-0.11,-2.14%
28-01-2026,5.22,5.23,5.09,1615,8374119,43280888.69,5.14,5.21,-0.07,-1.34%
27-01-2026,5.22,5.25,5.2,825,4681062,24483613.47,5.21,5.22,-0.01,-0.19%
26-01-2026,5.21,5.23,5.12,630,3215992,16686020.43,5.22,5.23,-0.01,-0.19%
23-01-2026,5.23,5.25,5.18,507,3590622,18746286.62,5.23,5.23,0.0,0.00%
22-01-2026,5.18,5.25,5.18,874,7080233,36879038.38,5.23,5.2,0.03,0.58%
21-01-2026,5.21,5.22,5.17,921,7224657,37562491.96,5.2,5.22,-0.02,-0.38%
20-01-2026,5.18,5.23,5.18,841,6841613,35636218.46,5.22,5.17,0.05,0.97%
19-01-2026,5.15,5.25,5.15,658,5179200,26943321.08,5.17,5.15,0.02,0.39%
16-01-2026,5.12,5.17,5.12,552,2664989,13723509.53,5.15,5.14,0.01,0.20%
15-01-2026,5.2,5.2,5.08,1825,12584684,64442235.64,5.14,5.2,-0.06,-1.15%
14-01-2026,5.19,5.25,5.16,1093,5884458,30650476.99,5.2,5.15,0.05,0.97%
13-01-2026,5.27,5.3,5.15,912,6530273,34048586.27,5.15,5.25,-0.1,-1.91%
12-01-2026,5.22,5.25,5.14,679,3666753,19123180.32,5.25,5.22,0.03,0.58%
09-01-2026,5.21,5.35,5.17,1156,8953912,46868455.27,5.22,5.21,0.01,0.19%
08-01-2026,4.98,5.23,4.93,1677,15267679,78149772.65,5.21,4.98,0.23,4.62%
07-01-2026,4.76,4.98,4.73,1302,9627558,47224200.06,4.98,4.76,0.22,4.62%
06-01-2026,4.73,4.76,4.7,599,4652559,22045900.73,4.76,4.73,0.03,0.63%
05-01-2026,4.75,4.79,4.65,695,3769081,17696775.01,4.73,4.75,-0.02,-0.42%
02-01-2026,4.66,4.75,4.66,337,1539739,7273371.46,4.75,4.66,0.09,1.93%
31-12-2025,4.62,4.7,4.62,302,1130800,5279685.94,4.66,4.68,-0.02,-0.43%
30-12-2025,4.7,4.7,4.6,683,3934693,18276940.78,4.68,4.69,-0.01,-0.21%
29-12-2025,4.7,4.7,4.65,609,3480463,16292069.99,4.69,4.7,-0.01,-0.21%
26-12-2025,4.78,4.78,4.68,411,2595792,12216106.24,4.7,4.78,-0.08,-1.67%
25-12-2025,4.76,4.78,4.71,184,885574,4204846.22,4.78,4.76,0.02,0.42%
24-12-2025,4.85,4.85,4.74,533,2628880,12547913.18,4.76,4.85,-0.09,-1.86%
23-12-2025,4.81,4.85,4.77,456,2568320,12396777.78,4.85,4.81,0.04,0.83%
22-12-2025,4.83,4.84,4.72,1207,4083908,19520228.12,4.81,4.84,-0.03,-0.62%
19-12-2025,4.79,4.84,4.77,535,6304573,30424374.4,4.84,4.78,0.06,1.26%
18-12-2025,4.74,4.82,4.73,1177,8105900,38809948.42,4.78,4.74,0.04,0.84%
17-12-2025,4.73,4.76,4.71,687,3799778,18019163.86,4.74,4.73,0.01,0.21%
16-12-2025,4.69,4.73,4.63,602,2247952,10555893.41,4.73,4.68,0.05,1.07%
15-12-2025,4.7,4.73,4.59,887,2461788,11447550.39,4.68,4.7,-0.02,-0.43%
12-12-2025,4.75,4.77,4.7,513,2417039,11456489.79,4.7,4.77,-0.07,-1.47%
11-12-2025,4.78,4.79,4.68,944,5560762,26330873.56,4.77,4.75,0.02,0.42%
10-12-2025,4.69,4.79,4.68,675,3729355,17689862.52,4.75,4.68,0.07,1.50%
09-12-2025,4.6,4.68,4.56,766,5745413,26472222.75,4.68,4.6,0.08,1.74%
08-12-2025,4.5,4.63,4.5,1029,7856790,36025133.43,4.6,4.5,0.1,2.22%
05-12-2025,4.43,4.5,4.33,1000,7583772,33556214.34,4.5,4.41,0.09,2.04%
04-12-2025,4.49,4.49,4.34,1336,6484890,28584343.34,4.41,4.48,-0.07,-1.56%
03-12-2025,4.3,4.5,4.28,1057,6133567,27171870.4,4.48,4.3,0.18,4.19%
28-11-2025,4.33,4.38,4.3,464,3377727,14632171.57,4.3,4.33,-0.03,-0.69%
27-11-2025,4.19,4.34,4.17,974,10527292,44986019.95,4.33,4.19,0.14,3.34%
26-11-2025,4.19,4.22,4.17,551,5057473,21182567.21,4.19,4.19,0.0,0.00%
25-11-2025,4.05,4.19,4.04,1214,13539640,55963982.48,4.19,4.05,0.14,3.46%
24-11-2025,4.02,4.05,4.02,487,8002857,32342342.61,4.05,4.02,0.03,0.75%
21-11-2025,4.02,4.03,4.0,463,8601206,34550113.28,4.02,4.03,-0.01,-0.25%
20-11-2025,4.02,4.03,3.99,729,8537345,34206195.86,4.03,4.01,0.02,0.50%
19-11-2025,4.01,4.02,3.99,856,7914907,31704133.64,4.01,4.01,0.0,0.00%
18-11-2025,3.99,4.02,3.97,767,9680127,38716156.0,4.01,4.0,0.01,0.25%
