Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,10.85,10.95,10.8,264,1154183,12528699.6,10.9,10.85,0.05,0.46%
17-02-2026,10.9,11.0,10.8,522,1783875,19423596.6,10.85,10.9,-0.05,-0.46%
16-02-2026,11.0,11.0,10.9,319,779266,8529192.75,10.9,11.0,-0.1,-0.91%
13-02-2026,11.0,11.1,10.9,344,1095317,12027072.25,11.0,11.05,-0.05,-0.45%
12-02-2026,10.85,11.05,10.85,394,1263244,13881171.8,11.05,10.9,0.15,1.38%
11-02-2026,10.8,11.0,10.8,486,1140367,12434179.95,10.9,10.8,0.1,0.93%
10-02-2026,10.8,11.2,10.8,1221,3112061,33935364.1,10.8,10.7,0.1,0.94%
09-02-2026,10.55,10.85,10.5,324,605309,6495073.75,10.7,10.5,0.2,1.91%
06-02-2026,10.8,10.85,10.5,437,1236432,13157433.7,10.5,10.8,-0.3,-2.78%
05-02-2026,10.75,10.85,10.65,928,2473224,26585967.75,10.8,10.7,0.1,0.94%
04-02-2026,10.55,10.75,10.45,497,3771008,40208674.8,10.7,10.55,0.15,1.42%
03-02-2026,10.45,10.6,10.35,554,2712524,28476482.4,10.55,10.45,0.1,0.96%
02-02-2026,10.3,10.5,10.3,327,1132957,11858616.7,10.45,10.3,0.15,1.46%
30-01-2026,10.4,10.5,10.3,599,2683698,27760552.45,10.3,10.45,-0.15,-1.44%
29-01-2026,10.4,10.5,10.4,414,1320255,13792344.8,10.45,10.4,0.05,0.48%
28-01-2026,10.45,10.5,10.4,278,388107,4047000.4,10.4,10.4,0.0,0.00%
27-01-2026,10.35,10.5,10.25,551,1745786,18202516.85,10.4,10.35,0.05,0.48%
26-01-2026,10.4,10.4,10.0,345,979541,10057452.8,10.35,10.4,-0.05,-0.48%
23-01-2026,10.4,10.45,10.25,332,595204,6177336.05,10.4,10.4,0.0,0.00%
22-01-2026,10.2,10.45,10.1,456,2346325,24293805.7,10.4,10.2,0.2,1.96%
21-01-2026,10.1,10.2,10.05,296,1193612,12068796.2,10.2,10.1,0.1,0.99%
20-01-2026,10.15,10.3,10.05,341,2021666,20463645.05,10.1,10.1,0.0,0.00%
19-01-2026,10.3,10.35,10.1,441,1653128,16837698.9,10.1,10.3,-0.2,-1.94%
16-01-2026,10.15,10.3,10.1,335,606324,6202463.9,10.3,10.15,0.15,1.48%
15-01-2026,10.25,10.35,10.0,438,1007617,10221184.95,10.15,10.25,-0.1,-0.98%
14-01-2026,10.45,10.6,10.2,635,3106103,32402610.1,10.25,10.5,-0.25,-2.38%
13-01-2026,10.25,10.6,10.25,630,2454566,25615321.2,10.5,10.3,0.2,1.94%
12-01-2026,10.1,10.3,10.1,685,2457784,25125825.55,10.3,10.1,0.2,1.98%
09-01-2026,10.05,10.15,9.99,463,1205017,12126731.65,10.1,10.05,0.05,0.50%
08-01-2026,9.85,10.1,9.85,333,2590009,25928330.09,10.05,9.94,0.11,1.11%
07-01-2026,9.87,9.97,9.75,828,3380321,33543705.13,9.94,9.87,0.07,0.71%
06-01-2026,9.72,9.9,9.72,462,1281953,12648221.69,9.87,9.83,0.04,0.41%
05-01-2026,9.82,9.83,9.61,368,432893,4222859.29,9.83,9.82,0.01,0.10%
02-01-2026,9.8,9.88,9.72,259,208167,2043296.49,9.82,9.8,0.02,0.20%
31-12-2025,9.56,9.8,9.56,616,1656687,16093682.18,9.8,9.56,0.24,2.51%
30-12-2025,9.82,9.82,9.56,404,1828684,17628344.26,9.56,9.82,-0.26,-2.65%
29-12-2025,9.83,9.86,9.75,330,336288,3297664.01,9.82,9.84,-0.02,-0.20%
26-12-2025,9.81,9.85,9.74,123,93135,914013.16,9.84,9.81,0.03,0.31%
25-12-2025,9.81,9.92,9.81,487,858635,8467312.15,9.81,9.86,-0.05,-0.51%
24-12-2025,9.75,9.9,9.7,451,2628154,25836987.42,9.86,9.76,0.1,1.03%
23-12-2025,9.61,9.76,9.55,377,2582062,25092651.56,9.76,9.67,0.09,0.93%
22-12-2025,9.59,9.73,9.58,597,2033719,19678608.96,9.67,9.69,-0.02,-0.21%
19-12-2025,9.54,9.69,9.48,375,2128883,20558222.09,9.69,9.53,0.16,1.68%
18-12-2025,9.65,9.72,9.53,377,1321072,12774123.06,9.53,9.65,-0.12,-1.24%
17-12-2025,9.73,9.73,9.46,594,501297,4827643.12,9.65,9.6,0.05,0.52%
16-12-2025,9.65,9.7,9.6,463,644594,6211087.0,9.6,9.65,-0.05,-0.52%
15-12-2025,9.67,9.7,9.54,402,726323,7006602.04,9.65,9.67,-0.02,-0.21%
12-12-2025,9.7,9.78,9.55,451,888337,8637575.53,9.67,9.7,-0.03,-0.31%
11-12-2025,9.39,9.7,9.39,227,542941,5246310.24,9.7,9.7,0.0,0.00%
10-12-2025,9.65,9.7,9.57,342,1194353,11552613.75,9.7,9.69,0.01,0.10%
