Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,16.35,16.9,16.3,1699,19477746,325069872.3,16.9,16.35,0.55,3.36%
17-02-2026,16.25,16.35,16.05,1142,11710596,189667465.35,16.35,16.3,0.05,0.31%
16-02-2026,16.5,16.5,16.2,1284,10659740,173707556.35,16.3,16.5,-0.2,-1.21%
13-02-2026,16.9,16.95,16.3,2780,27487756,454466342.35,16.5,16.3,0.2,1.23%
12-02-2026,16.4,16.4,16.2,455,4863658,79285963.55,16.3,16.4,-0.1,-0.61%
11-02-2026,16.4,16.45,16.2,2307,16730296,273827053.35,16.4,16.5,-0.1,-0.61%
10-02-2026,16.3,16.55,16.1,2921,29044020,473774033.15,16.5,16.4,0.1,0.61%
09-02-2026,16.1,16.4,16.05,2341,22332889,363423399.0,16.4,15.95,0.45,2.82%
06-02-2026,15.9,16.1,15.9,1193,14184399,226668176.4,15.95,16.0,-0.05,-0.31%
05-02-2026,15.8,16.1,15.8,2050,21352000,340680336.2,16.0,15.9,0.1,0.63%
04-02-2026,15.75,15.9,15.6,2439,28500932,450318289.85,15.9,15.8,0.1,0.63%
03-02-2026,15.6,15.95,15.55,2309,22011297,347544955.45,15.8,15.6,0.2,1.28%
02-02-2026,15.05,15.6,15.0,2062,20186793,310703762.9,15.6,15.0,0.6,4.00%
30-01-2026,15.25,15.25,15.0,1855,17695143,266978751.8,15.0,15.3,-0.3,-1.96%
29-01-2026,15.4,15.4,15.15,1652,15090549,230269537.6,15.3,15.4,-0.1,-0.65%
28-01-2026,15.0,15.4,15.0,2368,25755563,392511756.7,15.4,15.05,0.35,2.33%
27-01-2026,14.8,15.05,14.8,1645,15444480,231569845.6,15.05,14.85,0.2,1.35%
26-01-2026,14.9,14.95,14.55,1933,15783661,232701186.95,14.85,15.0,-0.15,-1.00%
23-01-2026,15.0,15.05,14.9,1093,9587493,143794271.75,15.0,15.0,0.0,0.00%
22-01-2026,14.7,15.05,14.7,2056,24095879,359381336.65,15.0,14.65,0.35,2.39%
21-01-2026,14.65,14.75,14.6,1213,9242452,135578811.25,14.65,14.7,-0.05,-0.34%
20-01-2026,14.55,14.7,14.55,1392,9860547,144491316.75,14.7,14.6,0.1,0.69%
19-01-2026,14.45,14.7,14.45,1094,8790348,128400815.15,14.6,14.45,0.15,1.04%
16-01-2026,14.3,14.5,14.3,926,9998652,144420984.0,14.45,14.3,0.15,1.05%
15-01-2026,14.45,14.55,14.15,1490,13078037,187357945.1,14.3,14.45,-0.15,-1.04%
14-01-2026,14.6,14.7,14.3,1332,11599288,168563118.3,14.45,14.65,-0.2,-1.37%
13-01-2026,14.55,14.65,14.45,1279,12231719,178370291.7,14.65,14.6,0.05,0.34%
12-01-2026,14.4,14.6,14.2,1348,12409324,179200846.8,14.6,14.4,0.2,1.39%
09-01-2026,14.65,14.65,14.4,1160,11577220,168078317.3,14.4,14.65,-0.25,-1.71%
08-01-2026,14.7,14.85,14.55,2295,15957255,234299990.85,14.65,14.8,-0.15,-1.01%
07-01-2026,14.45,14.8,14.35,2089,22202743,324351377.0,14.8,14.5,0.3,2.07%
06-01-2026,14.25,14.5,14.25,1689,20951805,301407773.65,14.5,14.2,0.3,2.11%
05-01-2026,14.1,14.2,13.95,1495,13615508,191479830.5,14.2,14.2,0.0,0.00%
02-01-2026,14.05,14.2,14.0,724,5917008,83635579.4,14.2,14.05,0.15,1.07%
31-12-2025,13.9,14.1,13.9,952,7361230,103148121.75,14.05,13.9,0.15,1.08%
30-12-2025,14.2,14.2,13.75,1675,14082037,196200265.1,13.9,14.3,-0.4,-2.80%
29-12-2025,14.25,14.3,14.1,928,6811837,96881426.6,14.3,14.3,0.0,0.00%
26-12-2025,14.2,14.3,14.2,284,1703789,24298088.6,14.3,14.2,0.1,0.70%
25-12-2025,14.35,14.4,14.2,369,3107332,44307814.9,14.2,14.4,-0.2,-1.39%
24-12-2025,14.3,14.45,14.25,751,6415207,92110642.85,14.4,14.3,0.1,0.70%
23-12-2025,14.25,14.35,14.15,813,7808817,111472340.15,14.3,14.25,0.05,0.35%
22-12-2025,13.9,14.25,13.85,936,9793758,138203607.6,14.25,13.85,0.4,2.89%
