Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,36.45,36.9,36.0,1200,1872653,68473491.0,36.9,36.5,0.4,1.10%
17-02-2026,36.5,36.75,35.8,1521,2055367,74867089.75,36.5,36.75,-0.25,-0.68%
16-02-2026,35.8,37.1,35.45,1935,2458240,89533591.0,36.75,35.75,1.0,2.80%
13-02-2026,35.4,36.15,35.2,1330,2279440,81249761.6,35.75,35.5,0.25,0.70%
12-02-2026,34.65,35.5,34.3,2187,3619610,127097432.25,35.5,34.65,0.85,2.45%
11-02-2026,33.9,34.95,33.7,1598,2543388,87761151.35,34.65,34.0,0.65,1.91%
10-02-2026,33.6,34.1,33.55,1913,4875375,165062182.5,34.0,33.6,0.4,1.19%
09-02-2026,33.75,33.8,33.05,1961,7100740,238339780.75,33.6,34.05,-0.45,-1.32%
06-02-2026,34.0,34.2,33.35,1636,2963801,100158808.4,34.05,34.0,0.05,0.15%
05-02-2026,33.5,34.45,33.3,1985,3042595,103249222.95,34.0,33.5,0.5,1.49%
04-02-2026,32.55,33.55,32.55,1394,3557662,118528015.35,33.5,32.5,1.0,3.08%
03-02-2026,33.0,33.2,32.05,1819,2754979,90009959.3,32.5,33.0,-0.5,-1.52%
02-02-2026,31.1,33.0,30.85,1552,5280218,169475227.1,33.0,31.1,1.9,6.11%
30-01-2026,31.0,31.1,30.7,1235,5684326,176293952.3,31.1,31.0,0.1,0.32%
29-01-2026,31.15,31.15,30.7,880,2138577,66248189.75,31.0,31.15,-0.15,-0.48%
28-01-2026,30.85,31.15,30.45,1756,5143167,158687690.1,31.15,30.85,0.3,0.97%
27-01-2026,30.6,31.05,30.25,1532,6455579,198939430.15,30.85,31.05,-0.2,-0.64%
26-01-2026,30.9,31.05,30.25,1072,1462492,44962809.2,31.05,31.1,-0.05,-0.16%
23-01-2026,31.0,31.1,30.65,1108,1731025,53626204.0,31.1,31.15,-0.05,-0.16%
22-01-2026,30.6,31.15,30.45,1160,5037979,156220868.6,31.15,30.6,0.55,1.80%
21-01-2026,30.15,30.65,30.05,1345,1539837,46946348.6,30.6,30.15,0.45,1.49%
20-01-2026,30.15,30.2,29.9,945,3516787,105689334.95,30.15,30.15,0.0,0.00%
19-01-2026,30.5,30.7,29.95,822,865055,26153451.55,30.15,30.5,-0.35,-1.15%
16-01-2026,29.9,30.5,29.9,633,1286232,38999415.0,30.5,30.1,0.4,1.33%
15-01-2026,29.8,30.1,29.55,839,1077188,32219761.3,30.1,29.8,0.3,1.01%
14-01-2026,30.3,30.35,29.8,1237,2343373,70567518.65,29.8,30.25,-0.45,-1.49%
13-01-2026,29.8,30.3,29.7,1678,5762053,173721508.9,30.25,29.75,0.5,1.68%
12-01-2026,29.2,29.75,29.1,729,1174653,34654231.05,29.75,29.35,0.4,1.36%
09-01-2026,29.45,29.5,29.2,470,632634,18563302.15,29.35,29.45,-0.1,-0.34%
08-01-2026,29.25,29.45,28.9,1092,1969316,57600686.0,29.45,29.4,0.05,0.17%
07-01-2026,29.05,29.4,29.05,793,1906571,55734273.95,29.4,29.25,0.15,0.51%
06-01-2026,29.1,29.65,29.05,1278,3646391,106996187.2,29.25,29.2,0.05,0.17%
05-01-2026,28.3,29.3,28.15,860,1515292,43528459.6,29.2,28.6,0.6,2.10%
02-01-2026,27.9,28.8,27.9,570,955363,27234800.8,28.6,27.85,0.75,2.69%
31-12-2025,27.85,28.6,27.85,697,1645304,46113150.6,27.85,28.3,-0.45,-1.59%
30-12-2025,28.55,28.9,27.8,1152,2429823,68738511.15,28.3,28.7,-0.4,-1.39%
29-12-2025,29.0,29.2,28.65,748,1038980,30045612.8,28.7,29.0,-0.3,-1.03%
26-12-2025,28.95,29.1,28.9,153,149408,4331421.45,29.0,28.95,0.05,0.17%
25-12-2025,29.1,29.1,28.95,100,321061,9312232.5,28.95,29.1,-0.15,-0.52%
24-12-2025,28.95,29.45,28.9,579,1877968,54697498.7,29.1,29.1,0.0,0.00%
23-12-2025,28.8,29.1,28.3,918,3637966,104906428.55,29.1,28.95,0.15,0.52%
22-12-2025,27.75,28.95,27.75,700,1156117,32948314.9,28.95,27.75,1.2,4.32%
19-12-2025,28.5,28.75,27.75,1338,5097109,141944906.8,27.75,28.6,-0.85,-2.97%
18-12-2025,28.7,29.1,28.6,835,1527996,44119791.3,28.6,28.8,-0.2,-0.69%
17-12-2025,28.2,28.8,28.0,1231,2593512,73972595.3,28.8,28.3,0.5,1.77%
16-12-2025,27.95,28.3,27.75,941,869993,24492419.55,28.3,28.05,0.25,0.89%
15-12-2025,28.25,28.25,27.95,805,790949,22213338.65,28.05,28.25,-0.2,-0.71%
12-12-2025,27.85,28.25,27.8,1510,2201460,61850903.45,28.25,27.8,0.45,1.62%
11-12-2025,27.2,28.05,27.2,1933,3152053,87558527.8,27.8,27.1,0.7,2.58%
10-12-2025,26.4,27.1,26.2,1255,2558718,68197213.75,27.1,26.4,0.7,2.65%
09-12-2025,26.8,26.8,26.1,1151,2178734,57522594.95,26.4,26.8,-0.4,-1.49%
08-12-2025,26.9,27.15,26.45,1722,2778239,74647132.25,26.8,26.8,0.0,0.00%
