Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,244.0,249.0,244.0,14,1430,349450.65,248.85,246.25,2.6,1.06%
17-02-2026,246.0,246.3,244.0,22,6749,1647954.15,246.25,244.0,2.25,0.92%
16-02-2026,249.95,250.0,244.0,22,907,222911.5,244.0,243.1,0.9,0.37%
13-02-2026,247.0,250.0,243.1,36,1845,453438.1,243.1,247.0,-3.9,-1.58%
12-02-2026,245.0,251.6,245.0,12,739,183807.8,247.0,251.7,-4.7,-1.87%
11-02-2026,250.0,252.0,244.0,28,2077,511608.95,251.7,247.0,4.7,1.90%
10-02-2026,250.0,250.5,244.0,48,2849,701450.8,247.0,250.0,-3.0,-1.20%
09-02-2026,250.0,253.0,250.0,18,689,172693.0,250.0,244.0,6.0,2.46%
06-02-2026,250.0,250.0,244.0,37,2115,520609.0,244.0,253.0,-9.0,-3.56%
05-02-2026,254.0,255.0,243.0,44,3198,791905.6,253.0,253.0,0.0,0.00%
04-02-2026,249.0,255.0,247.0,55,4064,1018849.0,253.0,245.0,8.0,3.27%
03-02-2026,264.0,264.0,239.0,188,15071,3707608.55,245.0,265.0,-20.0,-7.55%
02-02-2026,0.0,0.0,0.0,0,0,0.0,0.0,265.0,0.0,0.00%
30-01-2026,298.0,298.0,260.0,26,1695,483292.0,265.0,260.0,5.0,1.92%
29-01-2026,260.0,260.0,258.3,9,777,201969.0,260.0,260.0,0.0,0.00%
28-01-2026,260.0,260.0,256.1,28,1425,369932.6,260.0,259.75,0.25,0.10%
27-01-2026,260.0,265.0,259.6,39,3158,820922.0,259.75,260.0,-0.25,-0.10%
26-01-2026,260.0,260.0,259.3,14,1112,289101.1,260.0,259.25,0.75,0.29%
23-01-2026,259.6,260.0,259.25,11,925,240191.1,259.25,260.0,-0.75,-0.29%
22-01-2026,260.0,260.0,259.0,25,997,258781.0,260.0,260.0,0.0,0.00%
21-01-2026,260.0,260.0,259.5,7,302,78519.0,260.0,260.0,0.0,0.00%
20-01-2026,259.5,260.0,259.5,13,2096,544785.0,260.0,260.0,0.0,0.00%
19-01-2026,259.5,260.0,259.5,17,1235,321044.0,260.0,259.5,0.5,0.19%
16-01-2026,259.5,259.5,259.0,14,499,129483.0,259.5,259.5,0.0,0.00%
15-01-2026,259.95,260.0,257.0,13,631,162956.35,259.5,259.95,-0.45,-0.17%
14-01-2026,260.0,260.0,256.0,22,1118,288926.25,259.95,260.0,-0.05,-0.02%
13-01-2026,256.5,261.05,256.5,20,614,159409.9,260.0,256.5,3.5,1.37%
12-01-2026,260.0,268.0,256.5,14,217,56304.0,256.5,260.0,-3.5,-1.35%
09-01-2026,256.0,268.9,256.0,17,872,226985.2,260.0,260.0,0.0,0.00%
08-01-2026,259.6,260.0,256.0,26,1763,457650.1,260.0,259.6,0.4,0.15%
07-01-2026,260.0,260.0,259.6,13,583,151506.2,259.6,260.0,-0.4,-0.15%
06-01-2026,262.0,262.0,255.0,17,850,220764.1,260.0,259.9,0.1,0.04%
05-01-2026,256.0,259.9,256.0,6,106,27159.4,259.9,256.0,3.9,1.52%
02-01-2026,253.0,270.0,253.0,16,183,47420.0,256.0,253.0,3.0,1.19%
31-12-2025,256.0,256.0,253.0,6,435,111231.0,253.0,256.0,-3.0,-1.17%
