Date,Open,High,Low,Trades,Volume,Value,Last,Previous,Change,Change Percentage
18-02-2026,0.78,0.8,0.78,1320,34282155,27044765.55,0.79,0.78,0.01,0.90%
17-02-2026,0.79,0.81,0.78,1976,46001207,36498300.73,0.78,0.79,-0.01,-1.02%
16-02-2026,0.85,0.85,0.78,4163,154762837,125201240.31,0.79,0.86,-0.07,-8.48%
13-02-2026,0.91,0.92,0.86,6114,252125050,220227077.3,0.86,0.96,-0.1,-9.94%
12-02-2026,0.96,0.98,0.95,821,22441326,21594598.59,0.96,0.96,0.0,-0.21%
11-02-2026,0.98,0.99,0.96,1255,25533356,24785954.52,0.96,0.98,-0.02,-2.25%
10-02-2026,0.97,0.99,0.96,1377,35886605,35218008.99,0.98,0.97,0.01,1.45%
09-02-2026,0.95,0.97,0.95,720,14656872,14177199.69,0.97,0.95,0.02,2.22%
06-02-2026,0.94,0.95,0.94,229,3261982,3085297.12,0.95,0.95,-0.01,-0.53%
05-02-2026,0.96,0.96,0.94,938,11664433,11092801.68,0.95,0.96,-0.01,-0.52%
04-02-2026,0.94,0.97,0.94,1254,17860838,17088072.13,0.96,0.94,0.02,1.60%
03-02-2026,0.93,0.95,0.93,407,13118134,12353560.22,0.94,0.93,0.01,0.75%
02-02-2026,0.92,0.94,0.92,356,6971050,6510662.18,0.93,0.93,0.0,0.32%
30-01-2026,0.93,0.95,0.93,1183,17823025,16642195.39,0.93,0.93,0.0,-0.32%
29-01-2026,0.97,0.97,0.93,914,15635531,14834788.69,0.93,0.97,-0.04,-3.81%
28-01-2026,0.96,0.97,0.95,533,7636632,7366400.37,0.97,0.96,0.01,1.46%
27-01-2026,0.95,0.97,0.95,374,7696107,7385573.21,0.96,0.95,0.01,0.63%
26-01-2026,0.97,0.97,0.94,590,12022663,11437962.26,0.95,0.97,-0.02,-2.36%
23-01-2026,0.98,0.98,0.97,171,3061154,2981589.28,0.97,0.98,0.0,-0.21%
22-01-2026,0.98,0.99,0.97,385,13248237,12965584.05,0.98,0.97,0.01,0.72%
21-01-2026,0.98,0.98,0.97,362,6904078,6731132.69,0.97,0.98,-0.01,-1.43%
20-01-2026,0.99,0.99,0.98,278,7205015,7100668.04,0.98,0.99,-0.01,-1.01%
19-01-2026,0.99,1.0,0.99,405,7654295,7593077.04,0.99,0.99,0.0,0.41%
16-01-2026,0.97,1.0,0.97,510,9279025,9149247.2,0.99,0.96,0.03,2.81%
15-01-2026,0.96,0.98,0.96,698,10335509,9971104.34,0.96,0.96,0.0,0.00%
14-01-2026,0.99,1.01,0.96,840,21358742,21072028.92,0.96,0.99,-0.03,-3.22%
